komentar,label,Unnamed: 2,preprocessed
"Setiap kasus yang nggak kunjung selesai, makin membuktikan kalau sistemnya udah gagal total!",anger,,nggak kunjung selesai  bukti sistem udah gagal total 
"Kalau ada polisi yang benar-benar jujur, kasihan banget mereka harus kerja di sistem kayak gini!",trust,,polisi jujur  kasihan banget kerja sistem kayak gin 
saya masih percaya dengan polisi indonesia,trust,,percaya polisi indonesia
masyarakat percaya kalian bisa melindungi kami pak,trust,,masyarakat percaya lindung
semangat pak polisi kami percaya dengan kalian bisa melindungi kami,trust,,semangat polisi percaya lindung
lindungi kami selalu pak,trust,,lindung
Marah banget lihat kasus ini nggak kelar-kelar!,anger,,marah banget lihat nggak kelar 
brengsek hukum di negeri ini Cuma buat yang punya uang,anger,,brengsek hukum negeri uang
kesal lihat oknum bebas tanpa hukuman,anger,,kesal lihat oknum bebas hukum
jengkel tiap kali lihat berita tentang mereka,anger,,jengkel kali lihat berita
benci banget sama sistem yang tidak adil,anger,,benci banget sistem adil
muak dengan janji palsu polisi tanpa bukti,anger,,muak janji palsu polisi bukti
geram lihat yang salah malah dilindungi,anger,,geram lihat salah lindung
emosi setiap kali dengan polisi beralasan,anger,,emosi kali polisi alas
dendam rasanya kalau polisi tidak adil,anger,,dendam polisi adil
makin naik darah lihat kelakuan polisi,anger,,darah lihat laku polisi
marah karena keadilan Cuma ilusi di negeri ini,anger,,marah adil ilusi negeri
brengsek rakyat kecil selalu jadi korban,anger,,brengsek rakyat korban
kesal lihat kasus yang tiba-tiba hilang,anger,,kesal lihat hilang
jengkel banget kalau polisi diam saja,anger,,jengkel banget polisi diam
benci banget sama ketidakadilan yang dibiarkan terus terjadi,anger,,benci banget ketidakadilan biar
geram lihat yang benar malah ditekan,anger,,geram lihat tekan
emosi banget kalau kasus besar tiba-tiba senyap,anger,,emosi banget senyap
dendam rasanya lihat polisi berindak semena-mena,anger,,dendam lihat polisi berindak semena-mena
marah sampai tidak bisa berkata-kata,anger,,marah
kesal lihat rakyat kecil dipersulit,anger,,kesal lihat rakyat sulit
brengsek kapan hukum bisa benar-benar adil,anger,,brengsek hukum adil
benci banget sama sistem hukum yang bobrok,anger,,benci banget sistem hukum bobrok
muak dengan pencitraan tanpa aksi nyata,anger,,muak citra aksi nyata
geram lihat aparat yang hanya memikirkan diri sendiri,anger,,geram lihat aparat pikir
emosi tiap kali ada kasus yang tidak pernah tuntas,anger,,emosi kali tuntas
dendam dengan ketidakadilan yang terus berulang,anger,,dendam ketidakadilan ulang
marah lihat koruptor bisa bebas santai,anger,,marah lihat koruptor bebas santai
kesal karena yang salah selalu dilindungi,anger,,kesal salah lindung
senang banget lihat polwan,joy,,senang banget lihat polwan
brengsek polisi korup buat rakyat makin sengsara,anger,,brengsek polisi korup rakyat sengsara
kesal karena polisi mengabaikan kejahatan,anger,,kesal polisi abai jahat
jengkel lihat polisi yang main kekerasan,anger,,jengkel lihat polisi main keras
muak lihat polisi hobi mengintimidasi rakyat biasa,anger,,muak lihat polisi hobi intimidasi rakyat
emosi kalau polisi menyalahgunakan senjata dan wewenangnya,anger,,emosi polisi menyalahgunakan senjata wewenangnya
jengkel lihat polisi lebih sibuk mengejar tilang daripada tangkap koruptor,anger,,jengkel lihat polisi sibuk kejar tilang tangkap koruptor
benci banget sama polisi yang menutupi kesalahan,anger,,benci banget polisi tutup salah
dendam sama polisi tidak pernah jujur,anger,,dendam polisi jujur
brengsek harus viral dulu baru polisi mau bertindak,anger,,brengsek viral polisi tindak
jengkel setiap melihat polisi pura-pura tidak tahu,anger,,jengkel lihat polisi pura
benci banget kalau lihat polisi tidak becus bekerja,anger,,benci banget lihat polisi becus kerja
muak dengan alasan polisi yang selalu berubah-ubah,anger,,muak alas polisi ubah
dendam rasanya lihat polisi bebas dari hukuman meski terbukti bersalah,anger,,dendam lihat polisi bebas hukum bukti salah
marah lihat polisi melindungi koruptor,anger,,marah lihat polisi lindung koruptor
jengkel lihat aturan yang hanya menguntungkan polisi,anger,,jengkel lihat atur untung polisi
"Tugas polisi bukan hanya menegakkan hukum, tapi juga membangun kepercayaan publik.",netral,,tugas polisi tegak hukum  bangun percaya publik 
Evaluasi berkala terhadap kinerja kepolisian bisa jadi langkah perbaikan yang baik.,netral,,evaluasi hadap kerja polisi langkah 
Pelayanan yang cepat dan transparan adalah kunci kepercayaan masyarakat terhadap kepolisian.,netral,,layan cepat transparan kunci percaya masyarakat hadap polisi 
Tugas kepolisian adalah menegakkan hukum dengan adil tanpa memihak.,netral,,tugas polisi tegak hukum adil 
benci lihat polisi yang selalu melindungi kepentingan pejabat,anger,,benci lihat polisi lindung jabat
jengkel lihat polisi yang tidak mau dikritik padahal kerjaannya amburadul,anger,,jengkel lihat polisi kritik kerja amburadul
benci sama polisi yang Cuma modal seragam tapi tidak berintegritas,anger,,benci polisi modal seragam integritas
dendam sama polisi yang tidak punya hati nurani,anger,,dendam polisi hati nurani
jengkel lihat bukti jelas tapi tetap tidak diproses,anger,,jengkel lihat bukti proses
Bangga dengan polisi yang bekerja sepenuh hati!,joy,,bangga polisi kerja sepenuh hati 
Senang melihat polisi makin profesional!,joy,,senang lihat polisi profesional 
Polisi yang jujur bikin hati tenang!,joy,,polisi jujur bikin hati tenang 
"Kinerja polisi semakin baik, teruskan!",joy,,kerja polisi  
Salut untuk polisi yang menjaga keadilan!,joy,,salut polisi jaga adil 
"Terima kasih, polisi sudah bertugas dengan baik!",joy,,terima kasih  polisi tugas 
Senang melihat polisi membantu masyarakat!,joy,,senang lihat polisi bantu masyarakat 
"Polisi sigap, rakyat jadi merasa aman!",joy,,polisi sigap  rakyat aman 
Polisi yang adil bikin masyarakat bahagia!,joy,,polisi adil bikin masyarakat bahagia 
Bangga dengan polisi yang tegas dan bijak!,joy,,bangga polisi bijak 
"Polisi bekerja cepat, keren!",joy,,polisi kerja cepat  keren 
Hati senang melihat polisi melayani dengan tulus!,joy,,hati senang lihat polisi layan tulus 
Terima kasih sudah melindungi kami dengan baik!,joy,,terima kasih lindung 
Polisi yang ramah bikin nyaman!,joy,,polisi ramah bikin nyaman 
Bahagia melihat polisi menjalankan tugasnya dengan benar!,joy,,bahagia lihat polisi jalan tugas 
Salut dengan polisi yang tidak tebang pilih!,joy,,salut polisi tebang pilih 
Senang ada polisi yang sigap dan responsif!,joy,,senang polisi sigap responsif 
"Polisi bekerja dengan hati, luar biasa!",joy,,polisi kerja hati  
Masyarakat bangga punya polisi yang profesional!,joy,,masyarakat bangga polisi profesional 
Aman rasanya karena polisi selalu siap siaga!,joy,,aman polisi siaga 
Polisi yang jujur adalah kebanggaan bangsa!,joy,,polisi jujur bangga bangsa 
Senyum polisi di jalan bikin hari lebih cerah!,joy,,senyum polisi jalan bikin cerah 
"Polisi hadir, kejahatan menurun, hebat!",joy,,polisi hadir  jahat turun  hebat 
Bahagia melihat polisi menegakkan hukum dengan adil!,joy,,bahagia lihat polisi tegak hukum adil 
Terharu melihat polisi membantu warga kecil!,joy,,haru lihat polisi bantu warga 
Polisi yang disiplin bikin masyarakat kagum!,joy,,polisi disiplin bikin masyarakat kagum 
Kepolisian memiliki peran penting dalam menjaga keamanan di masyarakat.,netral,,polisi milik peran jaga aman masyarakat 
Pelayanan yang cepat dan responsif selalu menjadi harapan masyarakat.,netral,,layan cepat responsif harap masyarakat 
Setiap institusi pasti memiliki tantangan dalam menjalankan tugasnya.,netral,,institusi milik tantang jalan tugas 
Evaluasi rutin diperlukan agar kinerja kepolisian semakin optimal.,netral,,evaluasi rutin kerja polisi optimal 
Kepastian hukum bergantung pada penegakan yang transparan dan adil.,netral,,hukum gantung tega transparan adil 
Setiap laporan masyarakat harus ditindaklanjuti sesuai prosedur yang berlaku.,netral,,lapor masyarakat ditindaklanjuti sesuai prosedur laku 
Polisi bekerja berdasarkan hukum dan aturan yang sudah ditetapkan.,netral,,polisi kerja dasar hukum atur 
Pelatihan dan pengembangan terus diperlukan untuk meningkatkan profesionalisme.,netral,,latih kembang tingkat profesionalisme 
Koordinasi antarinstansi dapat membantu efektivitas kinerja kepolisian.,netral,,koordinasi antarinstansi bantu efektivitas kerja polisi 
Penegakan hukum yang baik harus bebas dari kepentingan tertentu.,netral,,tega hukum bebas 
Kesadaran hukum masyarakat juga berperan dalam mendukung tugas kepolisian.,netral,,sadar hukum masyarakat peran dukung tugas polisi 
Modernisasi alat dan sistem kepolisian bisa meningkatkan efektivitas kerja.,netral,,modernisasi alat sistem polisi tingkat efektivitas kerja 
Program kerja kepolisian perlu disosialisasikan agar masyarakat memahami perannya.,netral,,program kerja polisi sosialisasi masyarakat paham peran 
Setiap tindakan polisi harus didasarkan pada bukti dan prosedur yang jelas.,netral,,tindak polisi dasar bukti prosedur 
Partisipasi publik dalam pengawasan dapat membantu menjaga kredibilitas kepolisian.,netral,,partisipasi publik awas bantu jaga kredibilitas polisi 
Keamanan wilayah menjadi salah satu indikator keberhasilan kinerja kepolisian.,netral,,aman wilayah salah indikator hasil kerja polisi 
Peningkatan integritas personel sangat penting untuk menjaga kepercayaan publik.,netral,,tingkat integritas personel jaga percaya publik 
Kolaborasi dengan berbagai pihak dapat membantu tugas kepolisian lebih efektif.,netral,,kolaborasi bantu tugas polisi efektif 
Masyarakat menginginkan pelayanan yang transparan dan akuntabel dari kepolisian.,netral,,masyarakat layan transparan akuntabel polisi 
Penegakan aturan harus tetap dilakukan sesuai dengan ketentuan yang berlaku.,netral,,tega atur laku sesuai laku 
Bahagia melihat polisi bekerja sama dengan masyarakat!,joy,,bahagia lihat polisi kerja masyarakat 
"Polisi cepat tanggap, hasilnya nyata!",joy,,polisi cepat tanggap  hasil nyata 
Polisi yang bertanggung jawab bikin negara lebih maju!,joy,,polisi tanggung bikin negara maju 
Masyarakat senang melihat polisi aktif menjaga ketertiban!,joy,,masyarakat senang lihat polisi aktif jaga tertib 
Takut kalau kasus ini cuma berakhir tanpa kejelasan!,fear,,takut 
"Polisi ada, tapi kenapa masih takut keluar malam?",fear,,polisi  takut malam 
Seram lihat polisi yang harusnya melindungi malah bertindak sebaliknya!,fear,,seram lihat polisi lindung tindak 
Takut kalau laporan hanya dianggap angin lalu!,fear,,takut lapor anggap angin 
Merinding lihat aparat yang menyalahgunakan kekuasaan!,fear,,merinding lihat aparat menyalahgunakan kuasa 
"Polisi lambat bertindak, takut kasusnya menghilang begitu saja!",fear,,polisi lambat tindak  takut hilang 
"Jangan sampai hukum malah memihak yang berkuasa, ngeri!",fear,,hukum kuasa  ngeri 
"Deg-degan kalau ketemu razia, padahal nggak salah apa-apa!",fear,,deg-degan ketemu razia  nggak salah 
Takut kalau keadilan hanya mimpi di negeri ini!,fear,,takut adil mimpi negeri 
"Polisi harusnya bikin aman, tapi kenapa banyak yang justru waswas?",fear,,polisi bikin aman  waswas 
Ngeri lihat kasus besar yang nggak pernah terselesaikan!,fear,,ngeri lihat nggak selesai 
Takut kalau suara rakyat malah dibungkam dengan mudah!,fear,,takut suara rakyat bungkam mudah 
Merasa nggak aman meskipun ada polisi di sekitar!,fear,,nggak aman polisi 
"Polisi hadir, tapi kenapa masih banyak korban kejahatan?",fear,,polisi hadir  korban jahat 
Takut kalau yang salah malah dilindungi!,fear,,takut salah lindung 
"Polisi harusnya bikin tenang, bukan bikin cemas!",fear,,polisi bikin tenang  bikin cemas 
Khawatir kalau laporan kasus hanya berakhir di meja tanpa tindakan!,fear,,khawatir lapor meja tindak 
Serem lihat kejahatan yang tetap merajalela meski ada aparat!,fear,,rem lihat jahat rajalela aparat 
Ketakutan melihat hukum yang bisa dibeli!,fear,,takut lihat hukum beli 
"Polisi diam saja, rakyat makin takut berbicara!",fear,,polisi diam  rakyat takut bicara 
Jangan sampai ada korban lagi hanya karena polisi abai!,fear,,korban polisi abai 
Kenapa makin banyak orang takut melapor ke polisi?,fear,,orang takut lapor polisi 
Rasanya nggak aman kalau kejahatan dibiarkan begitu saja!,fear,,nggak aman jahat biar 
Seram kalau keadilan bisa dinegosiasi!,fear,,seram adil negosiasi 
Takut kalau pelaku kejahatan malah lebih dilindungi daripada korban!,fear,,takut laku jahat lindung korban 
"Polisi terlalu santai, sementara kejahatan terus terjadi!",fear,,polisi santai  jahat 
Takut karena tidak ada transparansi dalam penanganan kasus!,fear,,takut transparansi tangan 
"Polisi seharusnya bikin tenang, bukan bikin ragu!",fear,,polisi bikin tenang  bikin ragu 
Ngeri kalau ada kasus besar tapi polisi malah diam!,fear,,ngeri polisi diam 
"Polisi harus tegas, biar rakyat nggak hidup dalam ketakutan!",fear,,polisi  biar rakyat nggak hidup takut 
Keamanan makin diragukan kalau polisi nggak bertindak cepat!,fear,,aman ragu polisi nggak tindak cepat 
Jangan sampai takut dengan polisi lebih besar daripada takut dengan penjahat!,fear,,takut polisi takut jahat 
Takut kalau polisi cuma bergerak kalau sudah viral!,fear,,takut polisi gerak viral 
Sulit percaya kalau kejahatan tetap berulang meski ada aparat!,fear,,sulit percaya jahat ulang aparat 
Ngeri kalau yang berani bicara malah dikriminalisasi!,fear,,ngeri berani bicara kriminalisasi 
Jangan sampai ada korban sia-sia karena kelambanan aparat!,fear,,korban sia lamban aparat 
Takut karena kasus hilang begitu saja setelah beberapa waktu!,fear,,takut hilang 
Polisi perlu lebih tegas biar rakyat merasa aman!,fear,,polisi biar rakyat aman 
Takut kalau hukum hanya tajam ke bawah!,fear,,takut hukum tajam 
Ragu kalau hukum bisa berjalan tanpa intervensi!,fear,,ragu hukum jalan intervensi 
Takut karena hukum bisa dibelokkan sesuka hati!,fear,,takut hukum belok suka hati 
Ngeri lihat kasus yang nggak pernah menemui titik terang!,fear,,ngeri lihat nggak temu titik terang 
"Polisi harusnya memberikan perlindungan, bukan menambah rasa takut!",fear,,polisi lindung  takut 
Khawatir kalau penegakan hukum hanya ilusi!,fear,,khawatir tega hukum ilusi 
"Takut kalau korban nggak dapat keadilan, sementara pelaku bebas berkeliaran!",fear,,takut korban nggak adil  laku bebas liar 
Keamanan makin nggak jelas kalau polisi lambat bertindak!,fear,,aman nggak polisi lambat tindak 
Polisi seharusnya bisa lebih sigap biar rakyat nggak terus cemas!,fear,,polisi sigap biar rakyat nggak cemas 
Seram lihat kasus yang ujungnya cuma diam di tempat!,fear,,seram lihat ujung diam 
Polisi harus lebih transparan biar kepercayaan publik nggak hilang!,fear,,polisi transparan biar percaya publik nggak hilang 
Ngeri kalau aparat lebih berpihak pada yang berkuasa daripada rakyat!,fear,,ngeri aparat kuasa rakyat 
Sedih melihat hukum tak berpihak pada rakyat kecil.,sadness,,sedih lihat hukum rakyat 
"Polisi ada, tapi keadilan terasa jauh.",sadness,,polisi  adil asa 
"Miris, kejahatan terus terjadi meski aparat ada di mana-mana.",sadness,,miris  jahat aparat 
Kenapa polisi lambat bertindak saat rakyat butuh?,sadness,,polisi lambat tindak rakyat butuh 
Kecewa melihat kasus besar selalu tenggelam.,sadness,,kecewa lihat tenggelam 
Rasanya pedih melihat korban tak mendapat keadilan.,sadness,,pedih lihat korban adil 
"Polisi harusnya melindungi, tapi kenapa banyak yang masih merasa tak aman?",sadness,,polisi lindung  aman 
Sedih melihat hukum hanya tajam ke bawah.,sadness,,sedih lihat hukum tajam 
"Rakyat menangis, tapi keadilan tetap tak datang.",sadness,,rakyat menang  adil 
Kenapa banyak kasus tak pernah terselesaikan?,sadness,,selesai 
"Polisi hadir, tapi rasa aman tetap tak ada.",sadness,,polisi hadir  aman 
"Miris, mereka yang butuh perlindungan malah terabaikan.",sadness,,miris  butuh lindung abai 
Susah percaya kalau laporan ke polisi bakal diproses.,sadness,,susah percaya lapor polisi proses 
Hati ini hancur melihat kebenaran diabaikan.,sadness,,hati hancur lihat abai 
Sedih melihat aparat tak bisa jadi harapan rakyat.,sadness,,sedih lihat aparat harap rakyat 
Kenapa hukum seperti permainan bagi mereka yang berkuasa?,sadness,,hukum main kuasa 
Tidak ada harapan jika polisi hanya diam.,sadness,,harap polisi diam 
"Kecewa, hukum di negeri ini seakan cuma formalitas.",sadness,,kecewa  hukum negeri formalitas 
"Polisi harusnya memberi solusi, bukan menambah masalah.",sadness,,polisi solusi  
"Hukum ada, tapi rasanya hanya ilusi.",sadness,,hukum  ilusi 
Miris melihat aparat lebih peduli citra daripada rakyat.,sadness,,miris lihat aparat peduli citra rakyat 
Kenapa keadilan harus selalu menunggu viral?,sadness,,adil tunggu viral 
"Korban menunggu kepastian, tapi polisi tetap lamban.",sadness,,korban tunggu  polisi lamban 
Sedih melihat rakyat kehilangan kepercayaan pada hukum.,sadness,,sedih lihat rakyat hilang percaya hukum 
"Kecewa, mereka yang berjuang untuk kebenaran malah ditekan.",sadness,,kecewa  juang tekan 
Hati ini sakit melihat kejahatan dibiarkan begitu saja.,sadness,,hati sakit lihat jahat biar 
"Polisi harusnya jadi pelindung, bukan sumber ketakutan.",sadness,,polisi lindung  sumber takut 
Kenapa keadilan selalu sulit didapat?,sadness,,adil sulit 
"Kecewa, keadilan terasa semakin jauh.",sadness,,kecewa  adil asa 
"Polisi ada, tapi rasa aman seakan menghilang.",sadness,,polisi  aman hilang 
Sedih melihat hukum tak berpihak pada yang lemah.,sadness,,sedih lihat hukum lemah 
"Kasus terus bertambah, tapi penyelesaian terasa lambat.",sadness,, selesai asa lambat 
"Rakyat menangis, polisi tetap diam.",sadness,,rakyat menang  polisi diam 
Tak ada yang bisa diharapkan jika hukum terus dipermainkan.,sadness,,harap hukum main 
Kenapa kejahatan terus berulang tanpa solusi?,sadness,,jahat ulang solusi 
Miris melihat aparat seolah tutup mata terhadap penderitaan rakyat.,sadness,,miris lihat aparat olah tutup mata hadap derita rakyat 
"Polisi harusnya melindungi, bukan membuat resah.",sadness,,polisi lindung  resah 
"Sudah lapor, tapi tetap tak ada hasil.",sadness,,lapor  hasil 
Sedih melihat kebenaran kalah oleh kepentingan.,sadness,,sedih lihat kalah 
Bagaimana bisa percaya kalau keadilan hanya untuk yang berduit?,sadness,,percaya adil duit 
"Hukum hanya tajam ke bawah, itu menyakitkan.",sadness,,hukum tajam  sakit 
"Lelah berharap ada perubahan, tapi tetap sama saja.",sadness,,lelah harap ubah  
"Polisi seharusnya mendengar jeritan rakyat, bukan hanya atasan.",sadness,,polisi dengar jerit rakyat  
"Miris, kasus lama belum selesai, kasus baru sudah menumpuk.",sadness,,miris  selesai  tumpuk 
Kenapa rakyat kecil harus selalu menjadi korban?,sadness,,rakyat korban 
Polisi terlalu lamban saat rakyat benar-benar butuh bantuan.,sadness,,polisi lamban rakyat butuh bantu 
"Menyedihkan, banyak yang kehilangan nyawa tanpa kejelasan hukum.",sadness,,sedih  hilang nyawa hukum 
"Polisi ada, tapi keadilan tetap sulit ditemukan.",sadness,,polisi  adil sulit temu 
Hati ini hancur melihat aparat yang tak bisa diandalkan.,sadness,,hati hancur lihat aparat andal 
"Korban butuh perlindungan, bukan sekadar laporan yang diabaikan.",sadness,,korban butuh lindung  lapor abai 
Tak ada harapan jika hukum hanya berpihak pada yang kuat.,sadness,,harap hukum kuat 
Kenapa kasus bisa hilang begitu saja tanpa jawaban?,sadness,,hilang 
Polisi hanya bergerak cepat kalau ada tekanan publik.,sadness,,polisi gerak cepat tekan publik 
"Kecewa, mereka yang berani bicara malah dibungkam.",sadness,,kecewa  berani bicara bungkam 
"Polisi harusnya bekerja untuk rakyat, bukan melawan rakyat.",sadness,,polisi kerja rakyat  lawan rakyat 
"Sedih, hukum seperti hanya ada di atas kertas.",sadness,,sedih  hukum kertas 
Kepercayaan semakin terkikis karena kasus yang tak terselesaikan.,sadness,,percaya kikis selesai 
"Polisi diam, sementara rakyat terus menderita.",sadness,,polisi diam  rakyat derita 
"Laporan dibuat, tapi tindakan tak pernah nyata.",sadness,,lapor  tindak nyata 
Miris melihat hukum yang tak memberi kepastian bagi korban.,sadness,,miris lihat hukum korban 
"Polisi ada, tapi kenapa rasa takut masih menghantui?",sadness,,polisi  takut hantu 
Sedih melihat ketidakadilan masih merajalela.,sadness,,sedih lihat ketidakadilan rajalela 
"Keadilan seharusnya untuk semua, bukan hanya yang berkuasa.",sadness,,adil  kuasa 
"Polisi harusnya memberi solusi, bukan semakin menambah luka.",sadness,,polisi solusi  luka 
Kenapa suara rakyat selalu diabaikan?,sadness,,suara rakyat abai 
Miris melihat orang jujur malah dijadikan tersangka.,sadness,,miris lihat orang jujur sangka 
Harus seviral apa agar ada tindakan?,sadness,,seviral tindak 
"Sedih, mereka yang benar malah ditekan.",sadness,,sedih  tekan 
"Polisi hadir di mana-mana, tapi kejahatan tetap merajalela.",sadness,,polisi hadir  jahat rajalela 
Susah percaya kalau kasus bisa benar-benar selesai.,sadness,,susah percaya selesai 
Hukum yang tidak adil lebih menyakitkan dari kejahatan itu sendiri.,sadness,,hukum adil sakit jahat 
Rakyat kecil hanya bisa menangis tanpa kepastian hukum.,sadness,,rakyat menang hukum 
"Miris, bukti sudah jelas tapi prosesnya tetap berlarut-larut.",sadness,,miris  bukti proses larut 
"Polisi janji memperbaiki citra, tapi kenyataannya tetap sama.",sadness,,polisi janji citra  nyata 
Kecewa karena hukum seperti panggung sandiwara.,sadness,,kecewa hukum panggung sandiwara 
Sedih melihat harapan rakyat dipermainkan oleh sistem.,sadness,,sedih lihat harap rakyat main sistem 
Keadilan terasa semakin langka dan mahal.,sadness,,adil asa langka mahal 
"Polisi harusnya jadi pelindung, bukan sumber kesedihan.",sadness,,polisi lindung  sumber sedih 
"Setiap hari berharap perubahan, tapi tetap mengecewakan.",sadness,,harap ubah  kecewa 
"Kami hanya ingin merasa aman, tapi itu pun sulit.",sadness,,aman  sulit 
"Miris, hukum seperti dipermainkan oleh mereka yang berkuasa.",sadness,,miris  hukum main kuasa 
Sedih melihat laporan kami hanya dianggap angin lalu.,sadness,,sedih lihat lapor anggap angin 
"Polisi harusnya membantu, bukan malah memperumit masalah.",sadness,,polisi bantu  rumit 
"Kecewa, bukti jelas tapi tetap tak ada tindakan.",sadness,,kecewa  bukti tindak 
"Harapan mulai hilang, hukum semakin tak bisa dipercaya.",sadness,,harap hilang  hukum percaya 
"Polisi janji menegakkan hukum, tapi kenyataannya berbeda.",sadness,,polisi janji tegak hukum  nyata beda 
"Kasus-kasus lama tak pernah ada ujungnya, hanya menumpuk.",sadness,,ujung  tumpuk 
Sedih melihat aparat yang lebih sibuk pencitraan daripada bertindak.,sadness,,sedih lihat aparat sibuk citra tindak 
Polisi terlalu sering menunda hingga korban terlupakan.,sadness,,polisi tunda korban lupa 
"Setiap laporan harus viral dulu baru diproses, miris.",sadness,,lapor viral proses  miris 
Bukankah tugas mereka melindungi? Kenapa malah menakutkan?,sadness,,tugas lindung  takut 
"Jika keadilan hanya untuk segelintir orang, lalu kami ini siapa?",sadness,,adil gelintir orang  
Polisi seolah lupa bahwa mereka bekerja untuk rakyat.,sadness,,polisi olah lupa kerja rakyat 
Sedih melihat mereka lebih peduli pada jabatan daripada masyarakat.,sadness,,sedih lihat peduli jabat masyarakat 
"Miris, rakyat hanya bisa berharap tanpa kepastian.",sadness,,miris  rakyat harap 
"Polisi terlalu lambat dalam menindak, padahal nyawa taruhannya.",sadness,,polisi lambat tindak  nyawa taruh 
"Banyak janji perbaikan, tapi realitanya tetap sama.",sadness,,janji  realitanya 
Bagaimana bisa merasa aman jika yang seharusnya melindungi malah diam?,sadness,,aman lindung diam 
"Korban terus bertambah, tapi solusi tak kunjung datang.",sadness,,korban  solusi kunjung 
"Polisi sering berjanji, tapi lebih sering menghilang.",sadness,,polisi janji  hilang 
"Kepercayaan sudah terkikis, dan mereka tak berusaha memperbaiki.",sadness,,percaya kikis  usaha 
Kenapa korban harus berjuang sendiri mencari keadilan?,sadness,,korban juang cari adil 
Polisi lebih cepat menangkap kritik daripada menangkap penjahat.,sadness,,polisi cepat tangkap kritik tangkap jahat 
Sedih melihat hukum dipermainkan seperti lelucon.,sadness,,sedih lihat hukum main lelucon 
"Polisi yang baik ada, tapi sulit ditemukan.",sadness,,polisi  sulit temu 
"Kecewa, mereka yang seharusnya membela justru menyakiti.",sadness,,kecewa  bela sakit 
"Jika hukum bisa dibeli, lalu apa gunanya keadilan?",sadness,,hukum beli  adil 
"Miris, rakyat berteriak tapi tak ada yang mendengar.",sadness,,miris  rakyat teriak dengar 
"Polisi harusnya jadi harapan, bukan sumber ketakutan.",sadness,,polisi harap  sumber takut 
"Semakin banyak laporan, semakin banyak pula yang diabaikan.",sadness,,lapor  abai 
"Hukum tumpul ke atas, tajam ke bawah, menyedihkan.",sadness,,hukum tumpul  tajam  sedih 
"Polisi harusnya mengayomi, bukan malah menambah luka.",sadness,,polisi ayom  luka 
"Setiap harapan yang diberikan, selalu berakhir mengecewakan.",sadness,,harap  kecewa 
"Polisi harus sadar, kepercayaan rakyat bukan sesuatu yang abadi.",sadness,,polisi sadar  percaya rakyat abadi 
Semoga pelayanan kepolisian semakin baik ke depannya.,netral,,moga layan polisi 
"Polisi punya tugas berat, semoga selalu amanah dalam menjalankannya.",netral,,polisi tugas berat  moga amanah jalan 
Penegakan hukum yang tegas dan adil akan membuat masyarakat lebih percaya.,netral,,tega hukum adil masyarakat percaya 
Semoga koordinasi antara polisi dan masyarakat semakin kuat.,netral,,moga koordinasi polisi masyarakat kuat 
Kinerja kepolisian perlu transparansi agar publik bisa menilai dengan objektif.,netral,,kerja polisi transparansi publik nilai objektif 
"Polisi harusnya hadir untuk memberi kepastian, bukan ketidakpastian.",sadness,,polisi hadir  ketidakpastian 
Sedih melihat kasus besar lenyap begitu saja.,sadness,,sedih lihat lenyap 
"Kenapa yang benar malah ditindas, sementara yang salah dilindungi?",sadness,,tindas  salah lindung 
"Polisi harusnya mengembalikan kepercayaan rakyat, bukan menghilangkannya.",sadness,,polisi percaya rakyat  hilang 
"Keadilan itu hak semua orang, bukan hanya mereka yang punya koneksi.",sadness,,adil hak orang  koneksi 
Takut melapor karena bisa-bisa malah jadi korban.,fear,,takut lapor korban 
Kenapa rasanya lebih takut pada polisi daripada penjahat?,fear,,takut polisi jahat 
"Jika hukum bisa dipermainkan, bagaimana nasib orang kecil?",fear,,hukum main  nasib orang 
"Polisi harusnya melindungi, tapi malah bikin was-was.",fear,,polisi lindung  bikin was-was 
Takut bicara jujur karena bisa berujung masalah.,fear,,takut bicara jujur ujung 
Gimana bisa percaya kalau laporan sering diabaikan?,fear,,gimana percaya lapor abai 
Rakyat kecil selalu takut jika berurusan dengan polisi.,fear,,rakyat takut urus polisi 
Ngeri lihat kasus yang hilang begitu saja.,fear,,ngeri lihat hilang 
Takut kalau ketidakadilan ini jadi hal yang biasa.,fear,,takut ketidakadilan 
"Kalau ada masalah, justru takut lapor ke polisi.",fear,, takut lapor polisi 
Kenapa hukum terasa lebih berat bagi rakyat biasa?,fear,,hukum asa berat rakyat 
"Kasus hilang, bukti lenyap, siapa yang harus kita percaya?",fear,,hilang  bukti lenyap  percaya 
Takut keadilan tak pernah benar-benar ada.,fear,,takut adil 
Respons cepat dalam menangani laporan akan meningkatkan kepercayaan masyarakat.,netral,,respons cepat tangan lapor tingkat percaya masyarakat 
Polisi sebagai pengayom masyarakat perlu terus meningkatkan pelayanannya.,netral,,polisi ayom masyarakat tingkat layan 
"Keamanan dan ketertiban jadi tanggung jawab bersama, bukan hanya kepolisian.",netral,,aman tertib tanggung  polisi 
Masyarakat dan kepolisian harus saling mendukung demi lingkungan yang lebih aman.,netral,,masyarakat polisi dukung lingkung aman 
"Takut, karena hukum bisa tajam ke bawah dan tumpul ke atas.",fear,,takut  hukum tajam tumpul 
"Korban malah disalahkan, makin ngeri buat cari keadilan.",fear,,korban salah  ngeri cari adil 
Kedisiplinan internal kepolisian penting untuk menjaga integritas institusi.,netral,,disiplin internal polisi jaga integritas institusi 
"Setiap ada kasus besar, selalu ada keanehan.",fear,, aneh 
